,"Active Status","Type","Item","Description","Sales Tax Code","Account","COGS Account","Asset Account","Accumulated Depreciation","Purchase Description","Quantity On Hand","Cost","Preferred Vendor","Tax Agency","Price","Reorder Pt (Min)","MPN"
,"Active","Inventory Part","MB5U","MOTOBATT QUADFLEX BATTERY MB5U","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"MOTOBATT QUADFLEX BATTERY MB5U",-2,12.21,"MOTOBATT",,69.95,"","MB5U"
,"Active","Inventory Part","MB7BB","MB7BB NEW BATTERY FIX","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"MB7BB NEW BATTERY FIX",-6,16.39,"MOTOBATT",,78.95,"","MB7BB"
,"Active","Inventory Part","MB7U","MB7U QUADFLEX BATTERY","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"MB7U QUADFLEX BATTERY",-6,12.37,"MOTOBATT",,63.95,"","MB77"
,"Active","Inventory Part","MB9U","MOTOBATT QUADFLEX BATTERY MB9U","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"MOTOBATT QUADFLEX BATTERY MB9U",-62,26.85,"MOTOBATT",,75.95,"","MB9U"
,"Active","Inventory Part","MBBABY","6V/12V 500MA BABY BOY BATTERY CHARGER","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"6V/12V 500MA BABY BOY BATTERY CHARGER",-1,0.00,"MOTOBATT",,0.00,"","MBBABY"
,"Active","Inventory Part","MBC2B","12V   2  BANK CHARGER","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"12V   2  BANK CHARGER",-6,42.97,"MOTOBATT",,116.95,"","MBC2B"
,"Active","Inventory Part","MBC4B","MOTOBATT CHARGER 4 BANK","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"MOTOBATT CHARGER 4 BANK",-60,92.80,"MOTOBATT",,249.95,"","MBC4B"
,"Active","Inventory Part","MBCBABY","6/12V BABYBOY CHARGER WITH ALG","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"6/12V BABYBOY CHARGER WITH ALG",-6,7.44,"MOTOBATT",,14.95,"","MBCBABY"
,"Active","Inventory Part","MBCBB","12V BIG BOY CHARGER","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"12V BIG BOY CHARGER",-11,18.56,"MOTOBATT",,34.95,"","MBCBB"
,"Active","Inventory Part","MBCCFP","CHARGING LEAD FEMALE CIGARET","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"CHARGING LEAD FEMALE CIGARET",-18,2.09,"MOTOBATT",,7.49,"","MBCCFP"
